name,price,url,price_discounted,price_original,pct_discount,article_id
Washed Linen Duvet Cover Set,$59.99 $129,http://www.hm.com/us/product/13472?article=13472-N,59.99,129.0,53.0,13472-N
Candle in Glass Jar,$6.99 $17.99,http://www.hm.com/us/product/35079?article=35079-D,6.99,17.99,61.0,35079-D
Glittery Cushion Cover,$7.99 $17.99,http://www.hm.com/us/product/72462?article=72462-A,7.99,17.99,56.0,72462-A
Textured-weave Cushion Cover,$6.99 $12.99,http://www.hm.com/us/product/58926?article=58926-C,6.99,12.99,46.0,58926-C
Stoneware Bowl,$17.99 $24.99,http://www.hm.com/us/product/74242?article=74242-A,17.99,24.99,28.0,74242-A
Slub-weave Cushion Cover,$3.99 $9.99,http://www.hm.com/us/product/70965?article=70965-D,3.99,9.99,60.0,70965-D
Braided Cushion Cover,$7.99 $17.99,http://www.hm.com/us/product/62818?article=62818-B,7.99,17.99,56.0,62818-B
Jacquard-weave Cushion Cover,$7.99 $17.99,http://www.hm.com/us/product/69163?article=69163-B,7.99,17.99,56.0,69163-B
Scented Candle in Glass Holder,$9.99 $17.99,http://www.hm.com/us/product/40910?article=40910-C,9.99,17.99,44.0,40910-C
2-pack Curtain Panels,$27.99 $34.99,http://www.hm.com/us/product/69699?article=69699-B,27.99,34.99,20.0,69699-B
Porcelain Cup,$2.99 $5.99,http://www.hm.com/us/product/76916?article=76916-A,2.99,5.99,50.0,76916-A
Cotton Canvas Cushion Cover,$2.99 $5.99,http://www.hm.com/us/product/68473?article=68473-C,2.99,5.99,50.0,68473-C
Color-block Cushion Cover,$9.99 $12.99,http://www.hm.com/us/product/74498?article=74498-A,9.99,12.99,23.0,74498-A
King/Queen Duvet Cover Set,$39.99 $49.99,http://www.hm.com/us/product/41512?article=41512-E,39.99,49.99,20.0,41512-E
Star-print Duvet Cover Set,$39.99 $49.99,http://www.hm.com/us/product/76727?article=76727-A,39.99,49.99,20.0,76727-A
Faux Fur Seat Cushion,$7.99 $17.99,http://www.hm.com/us/product/76977?article=76977-A,7.99,17.99,56.0,76977-A
Patterned Duvet Cover Set,$19.99 $29.99,http://www.hm.com/us/product/73369?article=73369-A,19.99,29.99,33.0,73369-A
Patterned Mug,$2.99 $5.99,http://www.hm.com/us/product/59417?article=59417-D,2.99,5.99,50.0,59417-D
Metal Storage Box,$7.99 $17.99,http://www.hm.com/us/product/76797?article=76797-A,7.99,17.99,56.0,76797-A
Metal Tray,$14.99 $24.99,http://www.hm.com/us/product/76794?article=76794-A,14.99,24.99,40.0,76794-A
Porcelain Serving Dish,$9.99 $24.99,http://www.hm.com/us/product/80432?article=80432-A,9.99,24.99,60.0,80432-A
Metal Box,$7.99 $12.99,http://www.hm.com/us/product/78352?article=78352-A,7.99,12.99,38.0,78352-A
Stoneware Jar,$7.99 $17.99,http://www.hm.com/us/product/70658?article=70658-A,7.99,17.99,56.0,70658-A
Glittery Placemat,$4.99 $9.99,http://www.hm.com/us/product/72111?article=72111-A,4.99,9.99,50.0,72111-A
Porcelain Plate,$9.99 $12.99,http://www.hm.com/us/product/77665?article=77665-A,9.99,12.99,23.0,77665-A
Metal Storage Box,$7.99 $17.99,http://www.hm.com/us/product/70603?article=70603-A,7.99,17.99,56.0,70603-A
Bottle Stopper,$3.99 $6.99,http://www.hm.com/us/product/72262?article=72262-B,3.99,6.99,43.0,72262-B
Round Tray,$7.99 $17.99,http://www.hm.com/us/product/70427?article=70427-A,7.99,17.99,56.0,70427-A
Bottle Stopper,$2.99 $6.99,http://www.hm.com/us/product/72262?article=72262-A,2.99,6.99,57.0,72262-A
Porcelain Plate,$9.99 $12.99,http://www.hm.com/us/product/77665?article=77665-B,9.99,12.99,23.0,77665-B
2-pack Curtain Panels,$14.99 $34.99,http://www.hm.com/us/product/73380?article=73380-A,14.99,34.99,57.0,73380-A
Candle in Glass Jar,$7.99 $17.99,http://www.hm.com/us/product/35079?article=35079-C,7.99,17.99,56.0,35079-C
Satin Duvet Cover Set,$24.99 $49.99,http://www.hm.com/us/product/74773?article=74773-A,24.99,49.99,50.0,74773-A
Pile Throw,$29.99 $79.99,http://www.hm.com/us/product/75033?article=75033-A,29.99,79.99,63.0,75033-A
Jacquard-weave Cushion Cover,$4.99 $12.99,http://www.hm.com/us/product/60637?article=60637-C,4.99,12.99,62.0,60637-C
Patterned Duvet Cover Set,$19.99 $24.99,http://www.hm.com/us/product/70306?article=70306-A,19.99,24.99,20.0,70306-A
Slub-weave Cushion Cover,$2.99 $5.99,http://www.hm.com/us/product/60621?article=60621-B,2.99,5.99,50.0,60621-B
Tall Stoneware Vase,$14.99 $34.99,http://www.hm.com/us/product/69643?article=69643-A,14.99,34.99,57.0,69643-A
Jacquard-weave Cushion Cover,$6.99 $17.99,http://www.hm.com/us/product/72455?article=72455-B,6.99,17.99,61.0,72455-B
Glittery Cushion Cover,$6.99 $17.99,http://www.hm.com/us/product/72460?article=72460-B,6.99,17.99,61.0,72460-B
Glittery Cushion Cover,$6.99 $17.99,http://www.hm.com/us/product/72462?article=72462-B,6.99,17.99,61.0,72462-B
Wool-blend Rug,$99 $199,http://www.hm.com/us/product/71871?article=71871-A,99.0,199.0,50.0,71871-A
Washed Linen Duvet Cover Set,$54.99 $99,http://www.hm.com/us/product/73734?article=73734-A,54.99,99.0,44.0,73734-A
Cotton Velvet Cushion Cover,$6.99 $17.99,http://www.hm.com/us/product/74267?article=74267-A,6.99,17.99,61.0,74267-A
Color-block Cushion Cover,$4.99 $12.99,http://www.hm.com/us/product/73344?article=73344-A,4.99,12.99,62.0,73344-A
Scented Candle in Holder,$7.99 $17.99,http://www.hm.com/us/product/73325?article=73325-C,7.99,17.99,56.0,73325-C
Slub-weave Cushion Cover,$3.99 $9.99,http://www.hm.com/us/product/74264?article=74264-A,3.99,9.99,60.0,74264-A
Jacquard-weave Cushion Cover,$6.99 $17.99,http://www.hm.com/us/product/72455?article=72455-A,6.99,17.99,61.0,72455-A
Texture-patterned Plate,$4.99 $12.99,http://www.hm.com/us/product/70799?article=70799-B,4.99,12.99,62.0,70799-B
Cotton Canvas Cushion Cover,$2.99 $5.99,http://www.hm.com/us/product/68473?article=68473-D,2.99,5.99,50.0,68473-D
Glittery Placemat,$4.99 $9.99,http://www.hm.com/us/product/72111?article=72111-C,4.99,9.99,50.0,72111-C
Textured-weave Cushion Cover,$6.99 $12.99,http://www.hm.com/us/product/58926?article=58926-B,6.99,12.99,46.0,58926-B
Slub-weave Cushion Cover,$2.99 $5.99,http://www.hm.com/us/product/58211?article=58211-A,2.99,5.99,50.0,58211-A
Faux Fur Throw,$34.99 $79.99,http://www.hm.com/us/product/75469?article=75469-A,34.99,79.99,56.0,75469-A
Faux Fur Seat Cushion,$7.99 $17.99,http://www.hm.com/us/product/76982?article=76982-A,7.99,17.99,56.0,76982-A
Faux Fur Throw,$34.99 $79.99,http://www.hm.com/us/product/74825?article=74825-A,34.99,79.99,56.0,74825-A
Patterned Cushion Cover,$2.99 $5.99,http://www.hm.com/us/product/74263?article=74263-A,2.99,5.99,50.0,74263-A
Sequined Table Runner,$14.99 $24.99,http://www.hm.com/us/product/78047?article=78047-A,14.99,24.99,40.0,78047-A
Jacquard-weave Cushion Cover,$5.99 $12.99,http://www.hm.com/us/product/60637?article=60637-G,5.99,12.99,54.0,60637-G
Cushion Cover with Tassels,$12.99 $17.99,http://www.hm.com/us/product/78381?article=78381-A,12.99,17.99,28.0,78381-A
